"Início dos relatórios","Término dos relatórios","Nome da campanha","Valor usado (BRL)",Alcance,Impressões,Frequência,Compras,"Valor de conversão da compra","Custo por compra (BRL)","Retorno sobre o investimento em publicidade (ROAS) das compras"
2024-08-27,2025-03-25,"[Conversões em Feliz Natal - MT]",5418.3,59338,826165,13.923034,657,45480.67,8.247032,8.3939
2024-08-27,2025-03-25,"[Alc -01]",504.87,18274,43726,2.392799,22,1712.06,22.948636,3.391091
